ID	mu	sigma
9016	38.822	2.586
9017	41.803	2.445
9018	39.64	2.446
9019	40.81	2.41
9021	36.022	2.816
9024	42.917	2.44
9025	42.701	2.491
9026	40.011	2.472
9027	41.867	2.441
9029	38.148	2.58
9034	38.906	2.359
9035	38.536	2.435
9037	39.691	2.478
9040	36.018	2.903
9041	38.123	2.462
9042	38.348	2.261
9043	37.888	2.327
9044	39.391	2.603
9045	36.748	2.639
9046	41.368	2.525
9047	37.809	2.444
9048	41.108	2.554
9049	39.999	2.51
9050	38.005	2.18
9051	38.785	2.519
9052	36.007	2.624
9061	40.945	2.53
9062	40.758	2.381
9063	40.777	2.371
9064	41.541	2.562
9065	42.911	2.518
9066	41.227	2.496
9067	38.054	2.449
9068	36.836	2.579
9072	41.398	2.399
9073	37.683	2.706
9074	41.569	2.679
9088	48.388	2.737
9089	48.525	2.745
9090	48.212	2.877
9091	49.051	2.754
9093	44.019	2.911
9098	49.498	2.726
9099	50.513	2.828
9101	49.243	2.811
9104	37.064	2.708
9105	40.552	2.631
9106	39.932	2.462
9107	40.524	2.355
9108	40.823	2.44
9109	40.753	3.1
9110	39.02	2.4
9111	47.142	2.885
9112	41.222	2.49
9113	49.918	2.682
9114	50.033	2.738
9115	33.446	2.826
9116	47.487	3.089
9125	37.596	2.776
9126	41.857	2.553
9127	42.455	2.288
9128	41.441	2.362
9129	41.517	2.413
9130	41.774	2.306
9131	42.411	2.714
9132	39.354	2.859
9136	48.666	2.676
9137	42.974	3.239
9138	49.362	2.796
9152	0	0
9154	42.765	2.673
9156	44.207	2.628
9158	44.486	2.509
9160	0	0
9162	46.288	2.523
9163	43.673	2.836
9164	46.564	2.665
9165	44.898	2.521
9166	46.323	2.644
9167	0	0
9168	0	0
9169	37.396	2.686
9170	39.774	2.55
9171	40.621	2.666
9173	38.086	2.67
9181	41.693	2.557
9182	37.498	2.882
9183	44.094	2.569
9184	42.47	2.493
9185	46.665	2.738
9186	44.079	2.511
9187	41.65	2.69
9188	43.307	2.735
9204	37.529	2.622
9206	44.369	2.581
9207	42.756	2.828
9208	44.433	2.462
9209	43.225	2.382
9210	41.754	2.508
9211	44.55	2.62
9213	39.965	2.692
9216	55.348	3.463
9218	55.083	3.561
9220	59.37	3.746
9222	65.038	3.282
9224	53.233	3.033
9226	64.456	3.302
9227	55.686	3.775
9228	63.642	3.789
9229	64.677	3.318
9230	66.63	3.554
9231	55.677	3.054
9232	52.078	3.268
9233	54.374	3.311
9234	49.467	3.679
9235	48.753	3.332
9237	51.759	2.975
9245	49.882	3.156
9246	48.547	3.221
9247	56.675	3.077
9248	56.174	3.154
9249	55.872	3.231
9250	56.453	3.1
9251	49.645	3.494
9252	54.344	3.182
9268	62.062	3.365
9270	64.579	3.444
9271	62.348	3.237
9272	59.639	2.968
9273	58.368	3.281
9274	53.588	3.44
9275	59.485	3.22
9277	42.968	3.065
9280	0	0
9281	0	0
9282	0	0
9283	0	0
9285	0	0
9290	0	0
9291	0	0
9293	0	0
9296	0	0
9297	0	0
9298	0	0
9299	0	0
9300	0	0
9301	0	0
9302	0	0
9303	0	0
9304	0	0
9305	0	0
9306	0	0
9307	0	0
9308	0	0
9317	0	0
9318	0	0
9319	0	0
9320	0	0
9321	0	0
9322	0	0
9323	0	0
9324	0	0
9328	0	0
9329	0	0
9330	0	0
9344	50.244	3.561
9345	49.108	3.21
9346	43.77	3.362
9347	43.857	3.256
9349	43.022	3.235
9354	46.17	2.7
9355	0	0
9357	44.943	2.64
9360	39.051	2.98
9361	47.452	3.364
9362	46.131	2.932
9363	45.149	2.661
9364	41.737	3.067
9365	39.712	3.087
9366	47.228	2.893
9367	44.481	2.865
9368	45.131	2.683
9369	45.217	2.663
9370	43.626	2.584
9371	40.508	3.339
9372	40.532	4.704
9381	42.008	3.17
9382	52.753	3.407
9383	50.168	2.783
9384	49.677	2.887
9385	46.23	2.839
9386	46.226	2.878
9387	41.377	2.905
9388	39.237	2.892
9392	46.621	3.228
9393	40.624	3.368
9394	43.643	3.403
9408	44.988	3.073
9410	54.562	3.362
9412	51.159	3.212
9414	58.258	3.222
9416	51.061	3.114
9418	52.241	2.879
9419	45.169	3.325
9420	53.81	2.911
9421	52.707	3.066
9422	51.285	3.124
9423	54.941	3.236
9424	54.319	3.098
9425	51.416	3.11
9426	47.43	2.826
9427	47.583	3.004
9429	43.767	3.044
9437	52.258	2.795
9438	48.138	3.089
9439	52.346	2.822
9440	52.696	2.784
9441	57.68	3.062
9442	55.782	3.048
9443	49.077	3.312
9444	57.307	2.977
9460	46.362	2.889
9462	49.884	3.067
9463	48.134	2.802
9464	56.455	2.928
9465	55.65	3.004
9466	56.578	3.114
9467	55.588	3.003
9469	50.35	3.199
9472	62.602	3.088
9474	52.765	3.077
9476	54.94	2.913
9478	57.632	3.008
9480	65.21	3.139
9482	57.694	2.86
9483	53.562	3.009
9484	57.493	2.839
9485	56.176	2.952
9486	55.03	2.986
9487	62.525	3.273
9488	66.29	3.142
9489	65.335	3.238
9490	65.739	3.14
9491	67.57	3.292
9493	59.704	3.854
9501	66.673	3.705
9502	56.513	3.755
9503	66.92	3.516
9504	63.284	3.648
9505	65.8	3.307
9506	67.696	3.244
9507	60.949	3.607
9508	64.226	3.377
9524	73.958	3.897
9526	73.603	3.703
9527	75.143	3.442
9528	66.186	3.826
9529	73.039	3.626
9530	74.475	3.594
9531	71.322	3.692
9533	71.87	3.651
9536	56.177	3.071
9537	59.768	3.273
9538	56.935	2.995
9539	57.241	2.981
9541	56.866	3.119
9546	61.105	3.085
9547	0	0
9549	59.743	3.09
9552	52.832	3.32
9553	56.632	2.991
9554	56.946	3.173
9555	61.326	3.145
9556	60.263	3.237
9557	52.678	3.511
9558	55.542	3.387
9559	59.044	3.151
9560	56.856	3.117
9561	62.208	3.274
9562	61.273	3.345
9563	56.111	3.059
9564	57.254	3.672
9573	54.415	3.971
9574	60.268	3.121
9575	59.378	3.058
9576	56.348	3.21
9577	63.716	3.409
9578	61.341	3.437
9579	54.453	3.387
9580	56.94	3.285
9584	59.233	3.098
9585	50.228	3.957
9586	57.987	3.067
9600	66.961	3.165
9601	65.592	3.148
9602	64.612	3.212
9603	67.371	3.308
9605	60.342	3.479
9610	62.832	3.465
9611	0	0
9613	60.053	3.376
9616	60.696	3.353
9617	61.617	3.375
9618	62.722	3.188
9619	62.324	3.434
9620	64.48	3.283
9621	62.291	3.431
9622	65.303	3.229
9623	63.084	3.321
9624	62.507	3.233
9625	65.56	3.328
9626	66.48	3.444
9627	55.382	3.652
9628	60.873	6.227
9637	62.382	3.997
9638	71.721	4.066
9639	70.352	3.731
9640	74.398	3.585
9641	77.061	3.731
9642	74.801	3.988
9643	72.363	3.938
9644	66.049	3.687
9648	68.556	3.328
9649	54.851	3.546
9650	65.281	3.483
9664	55.261	2.967
9666	55.329	3.346
9668	59.939	3.242
9670	59.241	3.273
9672	54.768	3.08
9674	57.866	3.115
9675	52.843	3.478
9676	58.12	3.031
9677	57.873	3.167
9678	57.633	3.056
9679	58.2	2.937
9680	58.83	2.92
9681	58.082	2.971
9682	55.813	2.902
9683	54.829	2.771
9685	52.921	2.952
9693	57.258	3.486
9694	47.933	3.568
9695	56.093	3.154
9696	57.091	3.032
9697	60.832	3.193
9698	57.607	3.217
9699	52.396	3.454
9700	56.362	3.209
9716	45.617	3.121
9718	51.747	3.115
9719	48.319	2.971
9720	49.695	3.191
9721	46.437	3.283
9722	54.061	3.122
9723	53.674	3.121
9725	51.476	3.151
9728	56.092	3.526
9730	31.077	2.503
9732	33.544	2.652
9734	35.096	2.629
9736	59.303	3.367
9738	31.509	2.442
9739	29.404	2.647
9740	33.242	2.585
9741	31.636	2.685
9742	32.575	2.448
9743	60.47	3.392
9744	58.595	3.388
9745	59.876	3.292
9746	60.996	3.394
9747	58.909	3.381
9749	54.455	3.507
9757	31.703	2.222
9758	29.619	2.521
9759	31.787	2.405
9760	28.328	2.072
9761	32.534	2.099
9762	33.46	2.343
9763	30.411	2.467
9764	33.09	2.356
9780	29.862	2.563
9782	33.216	2.361
9783	33.309	2.645
9784	31.665	2.084
9785	32.45	2.25
9786	31.976	2.439
9787	32.272	2.355
9789	30.687	2.588
9792	59.177	3.258
9793	59.761	3.387
9794	58.601	3.391
9795	60.381	3.28
9797	53.534	3.48
9802	60.695	3.434
9803	0	0
9805	59.723	3.355
9808	54.949	3.621
9809	62.994	3.406
9810	61.469	3.521
9811	60.63	3.469
9812	59.166	3.495
9813	58.643	3.703
9814	61.405	3.285
9815	60.313	3.339
9816	60.997	3.432
9817	61.066	3.342
9818	60.335	3.529
9819	58.417	3.763
9820	57.796	4.159
9829	55.581	4.956
9830	60.386	5.386
9831	62.414	4.838
9832	62.283	4.869
9833	60.207	4.739
9834	60.203	4.687
9835	58.561	5.5
9836	51.15	4.862
9840	57.816	3.624
9841	48.341	3.368
9842	52.911	3.653
9856	39.707	2.665
9857	39.658	2.572
9858	37.006	2.945
9859	40.575	2.799
9861	37.255	2.881
9866	44.606	2.589
9867	0	0
9869	44.024	2.646
9872	33.075	2.628
9873	35.052	2.329
9874	35.831	2.436
9875	35.45	2.295
9876	36.288	2.583
9877	39.808	2.857
9878	36.558	2.376
9879	43.376	2.786
9880	36.235	2.208
9881	43.654	2.726
9882	44.678	2.819
9883	32.258	2.813
9884	38.444	3.899
9893	34.751	2.453
9894	38.148	2.536
9895	37.851	2.474
9896	37.535	2.32
9897	34.329	2.539
9898	37.08	2.438
9899	36.222	2.881
9900	28.721	3.073
9904	37.999	2.444
9905	33.579	2.915
9906	37.936	2.474
9920	48.281	3.533
9922	63.938	4.472
9924	69.702	4.057
9926	69.1	4.003
9928	52.21	3.333
9930	70.588	4.009
9931	67.935	3.952
9932	71.7	4.029
9933	70.603	3.723
9934	70.6	4.072
9935	49.862	3.006
9936	52.043	3.503
9937	50.867	3.22
9938	50.523	3.007
9939	49.295	3.18
9941	45.516	3.42
9949	64.908	3.676
9950	58.47	3.923
9951	64.325	3.763
9952	65.641	3.559
9953	65.595	3.447
9954	64.695	3.612
9955	62.23	3.822
9956	65.757	3.645
9972	56.022	3.513
9974	59.831	3.37
9975	57.994	3.285
9976	59.775	3.426
9977	59.354	3.329
9978	54.178	3.648
9979	60.929	3.641
9981	55.474	3.527
9984	30.8	2.327
9986	40.167	2.786
9988	40.945	2.504
9990	42.521	2.526
9992	32.545	2.113
9994	41.924	2.527
9995	40.707	2.73
9996	42.228	2.662
9997	41.593	2.469
9998	42.298	2.337
9999	31.999	2.072
10000	32.494	2.093
10001	35.281	2.173
10002	33.347	2.134
10003	34.75	2.216
10005	33.142	2.376
10013	37.871	2.423
10014	37.394	2.557
10015	38.376	2.334
10016	37.578	2.256
10017	38.11	2.423
10018	38.833	2.36
10019	36.82	2.716
10020	41.075	2.658
10036	32.458	3.649
10038	35.063	3.595
10039	34.856	3.595
10040	32.91	3.48
10041	35.044	3.501
10042	35.374	3.622
10043	35.982	3.764
10045	34.549	3.737
10048	0	0
10049	0	0
10050	0	0
10051	0	0
10053	0	0
10058	0	0
10059	0	0
10061	0	0
10064	0	0
10065	0	0
10066	0	0
10067	0	0
10068	0	0
10069	0	0
10070	0	0
10071	0	0
10072	0	0
10073	0	0
10074	0	0
10075	0	0
10076	0	0
10085	0	0
10086	0	0
10087	0	0
10088	0	0
10089	0	0
10090	0	0
10091	0	0
10092	0	0
10096	0	0
10097	0	0
10098	0	0
10112	40.7	2.326
10113	41.507	2.335
10114	39.597	2.337
10115	40.932	2.437
10117	39.643	2.631
10122	36.618	2.326
10123	39.093	2.633
10125	37.16	2.316
10128	34.445	2.391
10129	37.21	2.418
10130	37.262	2.234
10131	36.768	2.303
10132	35.575	2.3
10133	34.52	2.592
10134	36.815	2.272
10135	33.977	2.274
10136	36.646	2.113
10137	38.142	2.382
10138	38.488	2.288
10139	33.845	2.57
10140	32.266	2.985
10149	38.666	2.743
10150	41.204	2.57
10151	42.636	2.414
10152	42.573	2.55
10153	42.046	2.384
10154	41.162	2.563
10155	39.313	2.364
10156	37.886	2.545
10160	38.45	2.494
10161	36.398	2.384
10162	37.295	2.394
10176	40.587	2.626
10178	27.692	2.486
10180	31.46	2.45
10182	38.27	3.206
10184	42.661	2.53
10186	40.488	2.476
10187	41.981	2.915
10188	44.09	2.681
10189	45.674	2.842
10190	39.845	2.543
10191	44.755	2.81
10192	42.61	2.49
10193	39.37	2.322
10194	39.806	2.62
10195	37.743	2.336
10197	36.382	2.679
10205	37.494	2.32
10206	34.194	3.413
10207	39.699	2.307
10208	40.009	2.28
10209	38.884	2.229
10210	40.048	2.354
10211	35.336	2.905
10212	38.289	2.453
10228	33.166	2.747
10230	42.724	2.51
10231	40.58	2.865
10232	42.014	2.493
10233	41.47	2.423
10234	39.078	2.629
10235	39.985	2.394
10237	35.85	2.543
10240	23.927	2.371
10242	37.928	2.93
10244	41.173	2.727
10246	40.169	2.802
10248	24.837	2.203
10250	40.168	2.783
10251	40.634	2.919
10252	39.969	2.59
10253	40.753	2.665
10254	43.723	3.339
10255	26.388	2.122
10256	26.625	2.165
10257	26.852	2.026
10258	27.075	2.188
10259	25.983	2.098
10261	23.655	2.359
10269	27.29	2.315
10270	25.671	2.488
10271	28.749	2.276
10272	28.272	2.198
10273	28.535	2.335
10274	28.541	2.381
10275	23.82	2.708
10276	28.322	2.547
10292	38.177	3.134
10294	42.445	2.91
10295	40.878	2.958
10296	41.894	2.888
10297	42.395	2.938
10298	40.33	3.065
10299	41.337	2.881
10301	36.98	3.245
10304	31.985	2.292
10305	33.641	2.339
10306	33.362	2.286
10307	33.932	2.39
10309	30.663	2.407
10314	20.745	2.269
10315	20.983	2.252
10317	20.437	2.109
10320	28.178	2.508
10321	31.332	2.266
10322	31.708	2.229
10323	31.574	2.142
10324	30.694	2.286
10325	18.527	2.724
10326	31.369	2.14
10327	20.26	2.228
10328	31.39	2.445
10329	20.402	2.309
10330	20.819	2.231
10331	27.358	2.765
10332	19.325	2.615
10341	19.528	3.217
10342	22.303	2.694
10343	21.314	2.273
10344	22.06	2.645
10345	21.174	2.575
10346	20.525	2.532
10347	21.342	2.832
10348	19.227	2.9
10352	32.791	2.378
10353	28.376	2.676
10354	32.453	2.463
10368	26.454	2.128
10369	26.472	2.309
10370	25.647	2.325
10371	26.061	2.309
10373	23.786	2.51
10378	24.959	2.383
10379	23.404	2.412
10381	24.011	2.192
10384	20.37	2.678
10385	21.501	2.556
10386	21.029	2.19
10387	21.154	2.059
10388	21.789	2.345
10389	19.767	2.908
10390	22.096	2.12
10391	22.204	2.458
10392	20.826	2.06
10393	25.208	2.316
10394	20.352	2.585
10395	19.565	2.428
10396	20.22	2.482
10405	29.123	3.063
10406	32.145	2.547
10407	34.08	2.464
10408	34.792	2.492
10409	35.141	2.42
10410	35.003	2.409
10411	34.756	2.778
10412	30.845	2.802
10416	25.89	2.199
10417	22.506	2.799
10418	25.735	2.635
10432	22.86	2.221
10434	40.349	3.329
10436	44.648	2.958
10438	44.91	2.904
10440	23.26	2.031
10442	46.594	2.798
10443	42.059	3.295
10444	46.931	2.898
10445	45.817	3.048
10446	46.3	2.909
10447	24.093	2.071
10448	24.996	2.361
10449	23.246	2.38
10450	23.653	2.144
10451	24.49	2.474
10453	19.889	2.654
10461	46.431	2.89
10462	42.713	3.131
10463	48.078	2.946
10464	46.387	2.947
10465	46.488	2.999
10466	46.495	3.117
10467	40.861	3.135
10468	46.367	3.088
10484	16.774	3.381
10486	21.654	2.667
10487	20.222	2.843
10488	21.34	2.696
10489	19.748	2.551
10490	20.699	2.628
10491	21.798	2.729
10493	18.268	3.333
10496	65.574	3.533
10498	66.88	3.411
10500	66.779	3.611
10502	78.845	3.886
10504	68.536	3.22
10506	77.22	3.873
10507	72.039	3.896
10508	72.097	3.726
10509	75.319	3.704
10510	77.494	3.873
10511	72.236	3.539
10512	70.874	3.331
10513	68.885	3.391
10514	71.935	3.367
10515	65.128	3.593
10517	59.741	3.425
10525	78.894	3.927
10526	65.924	3.73
10527	78.496	3.857
10528	69.743	3.853
10529	66.328	3.637
10530	71.775	3.772
10531	67.632	3.48
10532	65.642	3.369
10548	63.419	3.239
10550	62.811	3.053
10551	65.547	3.269
10552	63.905	3.096
10553	63.47	3.127
10554	60.702	3.272
10555	64.738	3.205
10557	64.769	3.644
10560	66.998	3.3
10561	60.423	3.58
10562	68.616	3.909
10563	62.093	3.499
10565	56.904	3.303
10570	69.038	3.487
10571	66.151	3.316
10573	64.685	3.222
10576	53.094	3.457
10577	60.371	3.064
10578	62.228	3.324
10579	61.956	3.179
10580	62.879	3.589
10581	59.905	3.372
10582	65.029	3.294
10583	62.6	3.153
10584	65.084	3.274
10585	61.661	3.333
10586	63.606	3.251
10587	57.08	3.231
10588	64.646	3.456
10597	50.55	2.977
10598	50.592	2.67
10599	49.821	3.052
10600	54.654	3.172
10601	46.238	3.382
10602	57.828	3.474
10603	56.063	3.206
10604	52.777	3.17
10608	65.36	3.398
10609	56.791	3.351
10610	68.968	3.685
10624	50.821	2.72
10625	55.007	2.918
10626	53.302	2.777
10627	50.659	2.833
10629	52.95	2.905
10634	51.198	2.725
10635	50.615	2.906
10637	46.992	2.89
10640	48.42	3.273
10641	61.129	3.478
10642	54.964	3.26
10643	60.949	3.323
10644	55.064	3.144
10645	50.771	3.09
10646	56.88	2.947
10647	45.913	3.294
10648	55.813	2.834
10649	49.803	2.736
10650	51.041	2.837
10651	58.234	3.339
10652	44.302	3.151
10661	52.829	3.269
10662	54.785	2.884
10663	55.635	2.748
10664	55.459	2.918
10665	58.478	3.081
10666	56.559	2.903
10667	53.661	3.194
10668	50.997	2.925
10672	56.37	2.981
10673	49.826	3.139
10674	49.138	3.046
10688	57.55	3.779
10690	53.919	3.429
10692	63.352	3.495
10694	65.029	3.307
10696	63.923	3.272
10698	62.636	3.249
10699	54.631	3.941
10700	59.793	3.221
10701	62.217	3.185
10702	59.516	3.207
10703	64.115	3.146
10704	63.177	3.161
10705	63.932	3.377
10706	63.357	3.223
10707	61.439	3.342
10709	56.138	3.751
10717	58.903	4.002
10718	55.218	4.239
10719	59.496	3.898
10720	56.641	3.573
10721	57.606	3.803
10722	57.888	3.93
10723	55.757	3.977
10724	61.349	3.97
10740	60.024	3.153
10742	64.63	3.321
10743	61.885	3.077
10744	65.804	3.156
10745	61.882	3.338
10746	65.003	3.184
10747	67.305	3.309
10749	60.926	3.34
10752	73.415	4.353
10754	74.691	4.762
10756	73.733	4.346
10758	88.626	5.778
10760	77.885	3.954
10762	70.248	4.474
10763	64.715	5.097
10764	83.094	5.707
10765	73.183	4.061
10766	70.321	3.86
10767	78.241	4.114
10768	78.044	3.703
10769	78.182	3.858
10770	78.604	3.95
10771	77.303	4.301
10773	68.933	4.388
10781	75.687	3.858
10782	70.329	3.961
10783	75.996	4.211
10784	74.969	3.796
10785	73.334	3.811
10786	77.311	4.28
10787	69.084	4.042
10788	75.053	4.218
10804	72.785	4.984
10806	88.069	4.63
10807	87.412	4.676
10808	77.764	5.32
10809	86.057	4.751
10810	86.605	4.728
10811	87.829	4.856
10813	74.359	5.264
10816	28.855	2.1
10817	27.812	2.486
10818	29.732	2.321
10819	29.949	2.109
10821	28.314	2.382
10826	37.255	2.607
10827	37.837	2.624
10829	40.016	2.54
10832	39.013	2.985
10833	43.056	2.844
10834	43.661	2.709
10835	42.411	2.686
10836	42.75	2.885
10837	34.134	3.017
10838	44.227	2.784
10839	39.437	2.852
10840	42.68	2.651
10841	38.764	2.544
10842	37.523	2.592
10843	39.497	2.822
10844	38.043	2.558
10853	18.825	3.11
10854	17.199	2.915
10855	19.307	2.95
10856	16.767	3.064
10857	17.862	2.974
10858	17.925	3.075
10859	16.696	2.936
10860	14.762	3.024
10864	26.513	2.559
10865	21.105	3.169
10866	25.798	2.645
10880	48.377	2.941
10881	48.886	3.045
10882	46.463	3.056
10883	46.928	2.9
10885	41.865	3.277
10890	24.739	2.059
10891	25.046	2.199
10893	25.389	2.116
10896	46.723	3.204
10897	50.916	3.339
10898	52.69	3.228
10899	52.052	3.05
10900	50.858	3.316
10901	24.276	2.373
10902	50.218	3.017
10903	26.501	2.079
10904	51.905	3.045
10905	26.449	2.135
10906	26.02	2.335
10907	47.555	3.609
10908	22.823	2.488
10917	20.913	2.505
10918	23.242	2.168
10919	24.489	2.161
10920	25.406	1.966
10921	24.492	2.235
10922	23.181	1.832
10923	23.991	2.231
10924	22.601	2.196
10928	48.762	2.957
10929	43.512	3.037
10930	46.794	2.975
10944	38.602	3.35
10946	28.057	2.548
10948	30.153	2.39
10950	30.232	2.186
10952	45.05	3.259
10954	31.222	2.188
10955	28.972	2.631
10956	31.598	2.177
10957	31.542	2.46
10958	30.557	2.26
10959	43.087	2.776
10960	44.993	2.99
10961	45.079	2.928
10962	43.67	2.716
10963	42.758	3.012
10965	40.564	3.457
10973	52.43	3.753
10974	38.917	3.215
10975	50.026	3.156
10976	50.472	3.231
10977	47.907	3.174
10978	51.72	3.533
10979	44.918	3.014
10980	44.447	3.119
10996	41.259	3.056
10998	46.047	3.066
10999	44.276	3.153
11000	51.564	3.237
11001	50.785	3.173
11002	50.915	3.265
11003	49.855	3.042
11005	45.06	3.289
11264	42.135	3.181
11266	47.814	3.059
11268	47.873	2.833
11270	47.429	2.896
11272	41.555	2.866
11274	48.333	2.863
11275	45.136	3.157
11276	46.955	2.925
11277	47.342	2.952
11278	47.586	2.898
11279	41.36	2.857
11280	41.042	2.884
11281	41.225	2.92
11282	41.965	2.815
11283	40.738	2.906
11285	37.547	2.993
11293	49.504	3.234
11294	42.274	3.474
11295	50.603	3.094
11296	49.961	3.007
11297	51.821	2.989
11298	51.372	3.076
11299	49.197	3.142
11300	50.862	2.971
11316	42.579	2.964
11318	43.022	2.628
11319	42.79	2.741
11320	42.978	2.761
11321	43.123	2.76
11322	45.343	2.955
11323	44.217	2.69
11325	42.031	3.057
11328	20.036	2.188
11329	19.763	2.134
11330	20.256	2.318
11331	18.732	2.39
11333	17.475	2.36
11338	19.166	2.128
11339	19.229	2.337
11341	20.655	1.885
11344	17.47	2.094
11345	18.102	1.966
11346	18.528	2.239
11347	18.021	2.663
11348	18.31	2.135
11349	17.842	2.683
11350	19.717	2.017
11351	19.802	1.902
11352	20.173	2.012
11353	20.454	1.998
11354	15.813	2.351
11355	17.893	2.297
11356	18.615	2.205
11365	18.085	3.24
11366	18.143	2.579
11367	19.076	2.126
11368	18.319	2.525
11369	15.36	2.448
11370	15.904	2.446
11371	14.484	2.453
11372	12.605	2.614
11376	17.399	2.665
11377	17.165	2.593
11378	18.415	2.553
11392	22.831	1.804
11393	23.103	1.805
11394	23.037	1.916
11395	22.613	1.954
11397	19.854	2.991
11402	14.738	2.249
11403	15.178	2.424
11405	14.605	2.518
11408	14.602	2.765
11409	16.887	2.012
11410	16.733	1.876
11411	15.099	2.07
11412	14.665	2.645
11413	14.905	2.608
11414	16.717	1.977
11415	14.575	2.78
11416	17.117	1.922
11417	14.338	2.702
11418	14.112	2.542
11419	14.243	2.986
11420	13.148	3.137
11429	18.784	2.835
11430	23.82	2.064
11431	24.355	1.906
11432	24.404	1.899
11433	24.555	1.779
11434	24.981	1.978
11435	24.853	1.902
11436	24.455	2.037
11440	23.786	1.966
11441	20.951	2.33
11442	22.494	2.177
11456	36.964	2.92
11458	13.695	3.094
11460	16.908	2.429
11462	17.913	1.869
11464	39.254	2.769
11466	20.186	2.054
11467	17.603	2.651
11468	21.598	2.067
11469	20.031	2.263
11470	20.027	2.006
11471	36.616	2.914
11472	39.03	2.584
11473	39.801	2.834
11474	39.858	2.873
11475	39.407	2.879
11477	34.36	3.296
11485	16.726	2.423
11486	16.175	2.339
11487	17.436	1.844
11488	17.362	1.81
11489	18.263	1.829
11490	17.671	1.965
11491	15.539	2.909
11492	17.219	2.175
11508	16.252	2.786
11510	17.634	1.986
11511	17.94	2.027
11512	18.112	1.674
11513	17.907	2.069
11514	18.946	2.145
11515	18.689	1.907
11517	15.828	3.104
11520	49.861	3.735
11522	45.333	3.232
11524	49.447	3.12
11526	50.421	3.072
11528	61.837	3.82
11530	51.211	3.32
11531	46.373	3.574
11532	50.587	3.078
11533	51.933	3.439
11534	51.929	3.22
11535	62.399	3.586
11536	56.299	4.249
11537	61.526	3.496
11538	63.709	3.736
11539	60.361	3.602
11541	54.125	3.937
11549	53.126	3.24
11550	49.886	3.316
11551	56.044	3.96
11552	54.801	3.158
11553	53.153	3.021
11554	53.836	3.184
11555	49.312	3.708
11556	53.09	3.247
11572	52.031	3.774
11574	60.587	3.546
11575	59.665	3.672
11576	58.219	3.317
11577	60.807	3.586
11578	57.733	3.645
11579	57.598	3.332
11581	52.897	3.714
11584	37.333	2.334
11585	37.708	2.311
11586	40.104	2.51
11587	40.96	2.527
11589	36.608	2.712
11594	48.939	2.757
11595	46.165	2.935
11597	47.91	2.66
11600	35.77	2.687
11601	36.364	2.543
11602	41.51	2.649
11603	41.717	2.714
11604	34.324	2.844
11605	45.392	3.033
11606	40.1	2.622
11607	46.439	2.675
11608	38.963	2.493
11609	50.052	2.796
11610	50.207	2.861
11611	36.528	2.522
11612	45.984	2.871
11621	35.238	2.742
11622	39.459	2.535
11623	40.56	2.312
11624	40.599	2.468
11625	37.348	2.338
11626	37.632	2.397
11627	36.819	2.184
11628	35.747	2.255
11632	37.245	2.255
11633	32.482	2.658
11634	37.019	2.492
11648	24.005	1.799
11649	25.52	2.298
11650	22.9	1.772
11651	23.529	1.876
11653	21.403	2.032
11658	36.113	2.367
11659	36.991	3.374
11661	35.976	2.75
11664	37.868	2.787
11665	42.756	2.851
11666	41.445	2.811
11667	41.235	2.452
11668	40.93	2.657
11669	32.52	2.724
11670	39.934	2.58
11671	35.569	2.683
11672	41.518	2.958
11673	37.391	2.675
11674	36.906	2.516
11675	39.795	2.898
11676	32.559	2.774
11685	28.605	2.398
11686	31.678	2.125
11687	30.535	1.99
11688	30.194	2.164
11689	31.341	1.886
11690	31.594	2.003
11691	31.03	2.138
11692	28.931	2.214
11696	24.132	2.093
11697	23.44	2.423
11698	25.737	3.012
11712	54.536	3.685
11714	60.918	3.754
11716	60.318	3.18
11718	63.079	3.453
11720	60.265	3.312
11722	61.725	3.283
11723	55.512	3.792
11724	63.492	3.759
11725	61.334	3.269
11726	62.026	3.555
11727	61.733	3.848
11728	62.109	3.629
11729	58.184	3.628
11730	57.346	3.352
11731	56.315	3.443
11733	55.419	3.475
11741	61.135	3.701
11742	57.208	3.754
11743	64.565	3.56
11744	66.535	3.818
11745	64.496	3.521
11746	67.659	4.586
11747	62.67	4.513
11748	65.996	3.485
11764	61.437	4.085
11766	70.55	3.849
11767	70.536	4.09
11768	72.859	4.029
11769	69.768	3.922
11770	70.876	3.922
11771	71.194	3.804
11773	68.204	3.918
11776	49.651	3.398
11778	46.232	2.666
11780	46.298	2.617
11782	46.73	2.744
11784	57.338	3.335
11786	48.092	2.671
11787	42.502	3.228
11788	50.525	2.974
11789	48.103	2.768
11790	48.65	2.703
11791	54.525	2.932
11792	58.896	3.245
11793	52.921	2.983
11794	54.415	2.983
11795	49.711	2.91
11797	47.704	2.914
11805	51.252	2.99
11806	44.853	3.284
11807	55.256	3.398
11808	52.957	3.022
11809	51.496	2.971
11810	49.658	2.916
11811	45.781	2.908
11812	49.064	2.914
11828	35.978	2.906
11830	40.049	2.385
11831	39.454	2.5
11832	38.415	2.406
11833	40.198	2.377
11834	37.534	2.699
11835	38.532	2.43
11837	30.371	2.679
11840	33.706	2.931
11841	33.301	2.921
11842	33.27	2.962
11843	33.97	2.813
11845	28.32	3.053
11850	40.586	2.589
11851	42.018	2.605
11853	45.229	2.874
11856	34.09	2.593
11857	37.808	2.42
11858	37.452	2.369
11859	39.33	2.349
11860	37.353	2.519
