ID	mu	sigma
626	78.521	5.198
640	67.862	3.916
641	68.313	3.894
642	67.261	3.979
643	65.859	3.837
645	62.269	3.975
650	60.745	4.324
651	56.892	4.198
653	59.84	3.493
656	44.189	4.143
657	57.09	3.74
658	57.781	3.709
659	56.82	3.611
660	55.396	4.159
661	56.088	3.22
662	57.1	3.704
663	56.609	3.629
664	57.165	3.711
665	57.535	3.462
666	58.051	3.299
667	51.368	3.84
668	51.608	3.722
677	66.554	4.361
678	72.552	4.103
679	71.171	4.87
680	72.951	4.543
681	74.971	4.579
682	76.192	4.603
683	73.255	4.185
684	69.709	4.134
688	67.424	4.021
689	63.547	3.855
690	62.834	3.743
704	73.044	4.281
706	66.547	3.844
708	71.878	4.137
710	73.687	3.947
712	75.898	4.077
714	76.968	4.001
715	69.009	4.082
716	76.952	4.209
717	72.067	4.289
718	75.064	3.934
719	79.681	4.242
720	78.378	4.223
721	74.787	4.339
722	78.563	4.094
723	78.303	4.204
725	70.023	4.272
733	15.864	2.437
734	16.081	2.733
735	18.082	2.298
736	17.28	2.145
737	17.114	2.023
738	15.269	2.145
739	14.142	2.35
740	14.991	2.352
756	17.598	2.644
758	19.259	1.951
759	19.476	2.11
760	19.835	1.964
761	19.872	2.204
762	19.68	1.976
763	19.361	2.06
765	17.382	2.648
768	26.325	2.261
770	25.091	2.635
772	26.709	2.279
774	26.402	2.126
776	27.01	2.212
778	25.419	2.029
779	22.158	2.88
780	26.631	2.18
781	26.085	2.089
782	26.267	2.191
783	27.718	2.004
784	28.106	2.164
785	25.88	2.124
786	27.279	2.269
787	25.193	2.091
789	24.358	2.193
797	38.935	2.558
798	38.506	2.845
799	36.696	2.38
800	36.731	2.714
801	35.524	2.54
802	35.023	2.434
803	33.219	2.741
804	34.3	2.418
820	25.169	3.099
822	30.691	2.83
823	29.661	2.919
824	34.124	2.619
825	29.759	2.731
826	33.049	2.321
827	33.857	2.347
829	33.864	2.565
832	40.059	2.326
833	38.194	2.241
834	38.311	2.412
835	39.402	2.353
837	34.242	2.588
842	37.282	2.256
843	38.777	2.54
845	39.589	2.356
848	36.245	2.541
849	30.543	2.594
850	32.812	2.421
851	34.796	2.47
852	38.542	2.611
853	39.823	2.816
854	36.784	2.621
855	38.209	2.338
856	32.517	2.637
857	38.536	2.266
858	35.61	2.406
859	22.982	2.863
860	34.582	2.523
869	27.493	2.233
870	30.528	2.052
871	29.895	1.975
872	28.536	1.82
873	29.127	1.908
874	27.551	1.924
875	28.635	1.872
876	25.746	2.237
880	39.3	2.182
881	37.742	2.548
882	39.537	2.332
896	25.124	1.916
897	24.756	1.938
898	26.531	2.173
899	27.403	2.126
901	24.532	2.399
906	17.079	1.947
907	18.017	1.826
909	17.007	2.385
912	16.947	2.799
913	26.458	2.117
914	25.578	1.993
915	23.526	1.936
916	23.317	2.623
917	13.729	2.522
918	24.514	2.076
919	17.596	2.662
920	25.228	2.026
921	16.513	2.069
922	17.855	2.084
923	22.571	2.358
924	16.165	2.128
933	23.548	2.682
934	27.32	1.817
935	27.533	1.821
936	27.629	1.777
937	27.191	1.76
938	28.337	1.843
939	27.662	1.829
940	27.006	2.2
944	25.06	2.035
945	19.879	2.878
946	23.98	2.263
960	22.078	2.0
962	22.992	2.209
964	25.617	2.091
966	24.722	1.834
968	22.283	1.808
970	24.06	1.919
971	21.54	2.501
972	24.523	2.014
973	25.291	2.101
974	25.046	1.918
975	22.41	1.783
976	23.189	1.676
977	22.802	1.836
978	21.546	1.696
979	22.557	1.841
981	20.375	2.06
989	17.302	2.509
990	14.265	2.887
991	16.641	2.408
992	17.958	2.643
993	16.483	2.109
994	17.32	2.606
995	13.803	2.919
996	15.551	2.488
1012	21.61	3.107
1014	23.631	2.286
1015	23.435	2.666
1016	23.498	2.617
1017	23.438	2.041
1018	21.323	2.837
1019	22.054	2.545
1021	20.851	2.667
1024	53.9	4.536
1026	58.612	4.041
1028	69.548	3.957
1030	66.521	3.451
1032	57.306	3.798
1034	68.373	3.49
1035	66.156	3.648
1036	65.013	4.128
1037	65.181	3.559
1038	67.281	3.604
1039	57.733	3.757
1040	57.512	3.59
1041	55.808	3.563
1042	55.334	3.758
1043	55.24	3.648
1045	49.78	4.044
1053	50.6	3.501
1054	46.534	3.405
1055	50.75	3.617
1056	51.033	3.704
1057	52.631	3.337
1058	52.271	3.495
1059	45.18	3.637
1060	51.34	3.314
1076	50.321	3.355
1078	51.268	3.336
1079	50.123	3.239
1080	49.347	3.306
1081	50.195	3.238
1082	47.593	3.305
1083	52.878	4.067
1085	49.864	3.474
1088	18.066	2.81
1089	18.971	2.838
1090	19.33	2.746
1091	17.779	3.041
1093	16.322	2.956
1098	44.148	2.815
1099	43.58	3.301
1101	45.496	3.344
1104	48.451	2.882
1105	52.458	3.002
1106	52.142	2.948
1107	51.809	2.895
1108	49.693	2.961
1109	40.088	3.14
1110	49.725	2.908
1111	43.821	3.229
1112	48.989	2.898
1113	42.242	2.953
1114	44.58	2.918
1115	50.114	3.002
1116	40.595	3.581
1125	30.236	2.742
1126	32.197	2.352
1127	32.867	2.333
1128	32.663	2.237
1129	32.542	2.188
1130	32.941	2.306
1131	33.187	2.255
1132	30.022	2.623
1136	17.241	2.822
1137	17.317	3.175
1138	19.68	2.707
1152	61.711	3.478
1153	60.831	3.601
1154	60.232	3.7
1155	58.112	3.512
1157	54.272	3.986
1162	61.948	3.956
1163	62.823	4.105
1165	61.06	3.756
1168	58.596	4.826
1169	63.399	4.488
1170	62.486	4.098
1171	64.144	4.051
1172	61.544	4.486
1173	58.197	4.147
1174	63.559	4.582
1175	60.568	4.156
1176	60.801	3.824
1177	57.621	4.053
1178	61.24	4.279
1179	58.135	4.537
1180	59.157	4.005
1189	57.825	3.791
1190	62.137	3.459
1191	62.094	3.795
1192	69.486	3.889
1193	65.364	3.571
1194	62.323	3.47
1195	59.594	3.882
1196	63.557	3.789
1200	58.504	3.391
1201	55.755	3.278
1202	58.031	3.311
1216	19.783	2.223
1218	18.016	2.857
1220	18.339	3.005
1222	18.729	2.437
1224	19.393	2.108
1226	19.57	2.546
1227	18.563	2.589
1228	18.156	2.447
1229	19.347	1.922
1230	20.039	1.943
1231	20.939	2.206
1232	19.154	2.334
1233	0	0
1234	18.385	2.475
1235	19.579	2.438
1237	18.047	2.675
1245	13.458	2.714
1246	12.538	2.919
1247	14.401	2.305
1248	13.857	2.245
1249	13.758	2.508
1250	14.362	2.29
1251	0	0
1252	13.669	2.759
1268	13.193	3.104
1270	13.719	2.947
1271	12.934	2.989
1272	13.836	2.788
1273	14.422	2.887
1274	14.872	3.01
1275	16.274	2.645
1277	14.228	3.135
1280	27.542	2.501
1282	21.118	2.186
1284	22.724	2.015
1286	23.136	1.913
1288	29.282	2.597
1290	23.618	2.181
1291	19.736	2.245
1292	22.51	1.863
1293	0	0
1294	22.641	1.901
1295	30.147	2.28
1296	29.148	2.371
1297	27.972	2.243
1298	29.633	2.206
1299	29.503	2.39
1301	27.323	2.742
1309	26.433	2.108
1310	25.073	2.208
1311	27.676	2.207
1312	27.076	2.249
1313	26.543	2.319
1314	27.867	2.301
1315	24.457	2.418
1316	26.054	2.421
1332	60.132	3.84
1334	64.161	3.833
1335	66.16	3.812
1336	61.801	3.5
1337	62.77	3.495
1338	65.28	3.856
1339	62.19	3.588
1341	57.404	3.854
1344	88.051	4.096
1345	86.693	4.144
1346	86.126	4.097
1347	85.337	4.037
1349	85.692	4.273
1354	91.682	4.989
1355	90.089	5.612
1357	89.965	5.182
1360	89.108	4.784
1361	91.863	4.711
1362	95.539	4.903
1363	97.002	4.862
1364	95.987	5.455
1365	85.84	4.602
1366	98.851	4.85
1367	90.917	4.55
1368	96.312	4.833
1369	89.745	4.313
1370	92.641	4.93
1371	91.259	4.807
1372	83.659	4.635
1381	71.559	4.266
1382	73.95	4.451
1383	77.183	4.087
1384	75.916	3.99
1385	78.168	3.95
1386	77.093	3.93
1387	75.611	3.97
1388	70.983	4.099
1392	85.076	4.029
1393	84.602	4.23
1394	85.34	3.992
1408	21.369	2.336
1409	21.334	2.448
1410	21.038	2.265
1411	21.076	2.503
1413	18.503	2.952
1418	24.106	2.145
1419	0	0
1421	23.429	2.23
1424	20.268	2.679
1425	21.421	2.368
1426	22.444	2.242
1427	21.826	2.048
1428	22.39	2.331
1429	21.907	2.493
1430	22.486	2.022
1431	23.373	2.391
1432	22.424	2.147
1433	23.829	2.428
1434	23.318	2.238
1435	19.038	2.489
1436	21.376	2.669
1445	19.163	3.161
1446	20.723	2.6
1447	22.431	2.304
1448	22.38	2.462
1449	22.405	2.397
1450	21.616	2.193
1451	20.683	2.566
1452	17.582	3.101
1456	21.634	2.418
1457	20.376	3.053
1458	21.724	2.551
1472	21.35	2.644
1474	67.956	3.692
1476	72.886	3.598
1478	71.449	3.498
1480	22.678	2.072
1482	73.231	3.567
1483	68.569	6.019
1484	73.791	3.628
1485	0	0
1486	72.068	3.591
1487	22.946	2.018
1488	23.993	1.961
1489	22.502	2.08
1490	22.408	2.151
1491	22.355	2.294
1493	22.301	2.559
1501	66.041	3.641
1502	62.012	3.776
1503	66.769	3.83
1504	63.922	3.577
1505	65.896	3.6
1506	69.52	3.651
1507	60.48	3.491
1508	64.758	3.705
1524	51.439	3.197
1526	54.366	3.131
1527	52.592	3.239
1528	55.391	3.266
1529	54.804	3.205
1530	53.237	3.228
1531	52.228	3.15
1533	51.873	3.303
1536	75.941	4.154
1538	49.52	3.941
1540	53.565	3.803
1542	56.564	3.37
1544	75.187	5.221
1546	58.252	3.172
1547	48.524	3.978
1548	57.549	3.381
1549	57.993	3.55
1550	56.921	3.352
1551	79.381	4.217
1552	69.168	4.064
1553	80.447	4.174
1554	78.741	5.126
1555	77.614	3.923
1557	75.191	4.078
1565	79.446	4.235
1566	68.118	4.481
1567	74.143	3.834
1568	74.583	4.299
1569	73.094	3.699
1570	73.265	3.647
1571	73.836	3.837
1572	73.777	4.294
1588	68.611	4.159
1590	81.729	4.3
1591	77.999	4.736
1592	81.856	4.007
1593	79.0	4.446
1594	80.157	4.385
1595	83.053	4.023
1597	70.895	4.516
1600	33.091	2.088
1601	32.375	2.068
1602	33.069	2.26
1603	32.297	2.067
1605	31.745	2.274
1610	32.33	2.378
1611	31.257	2.425
1613	34.296	2.629
1616	30.139	2.414
1617	25.153	2.618
1618	27.925	2.419
1619	28.302	2.258
1620	29.961	2.369
1621	31.429	2.549
1622	29.052	2.378
1623	33.124	2.454
1624	29.203	2.346
1625	32.461	2.482
1626	32.409	2.488
1627	24.516	2.442
1628	28.972	2.522
1637	30.095	2.681
1638	34.895	2.199
1639	35.488	2.151
1640	36.25	2.379
1641	32.81	2.914
1642	34.635	2.27
1643	31.861	2.171
1644	28.905	2.452
1648	33.019	2.095
1649	30.358	2.45
1650	32.694	2.102
1664	67.66	3.665
1665	65.984	3.892
1666	69.003	4.024
1667	68.283	4.218
1669	60.633	4.41
1674	68.1	3.449
1675	67.191	3.7
1677	67.297	3.553
1680	65.591	3.945
1681	69.888	3.769
1682	72.246	3.864
1683	72.78	3.865
1684	73.344	3.94
1685	63.619	3.605
1686	73.367	3.805
1687	67.325	3.748
1688	72.018	3.894
1689	69.265	3.611
1690	69.037	3.837
1691	64.918	3.965
1692	62.85	4.181
1701	61.966	3.633
1702	66.326	3.66
1703	67.446	3.787
1704	71.824	3.623
1705	69.497	3.74
1706	65.796	3.607
1707	67.162	3.817
1708	60.599	3.833
1712	66.344	3.927
1713	56.352	4.035
1714	67.133	3.54
1728	52.735	3.5
1730	44.828	5.103
1732	53.659	3.701
1734	60.125	3.432
1736	58.006	3.064
1738	56.316	3.465
1739	55.606	3.986
1740	60.45	3.317
1741	59.722	3.317
1742	61.672	3.698
1743	55.654	3.011
1744	57.892	3.029
1745	56.983	3.011
1746	56.222	2.935
1747	55.372	3.126
1749	47.149	3.668
1757	68.591	3.149
1758	66.674	3.528
1759	69.363	3.28
1760	69.594	3.119
1761	70.508	3.36
1762	66.748	3.252
1763	58.718	4.222
1764	66.442	3.328
1780	46.093	2.693
1782	47.931	2.734
1783	46.798	2.623
1784	46.966	2.571
1785	44.083	2.724
1786	44.769	2.64
1787	47.905	2.614
1789	43.839	2.671
1792	42.963	3.612
1794	36.197	2.907
1796	41.198	2.693
1798	38.928	2.289
1800	54.461	3.211
1802	37.608	2.177
1803	34.557	2.623
1804	40.579	2.602
1805	37.516	2.418
1806	36.854	2.433
1807	57.056	3.203
1808	57.848	3.082
1809	55.438	3.115
1810	52.474	3.599
1811	57.072	3.309
1813	48.464	3.138
1821	60.902	3.364
1822	58.061	3.458
1823	59.177	3.178
1824	53.624	3.588
1825	61.386	3.158
1826	62.161	3.208
1827	54.44	3.498
1828	61.975	3.393
1844	51.237	3.067
1846	53.183	2.885
1847	51.459	2.702
1848	52.47	2.71
1849	51.309	2.74
1850	50.272	2.871
1851	51.96	2.83
1853	49.521	2.98
1856	55.599	2.905
1857	57.191	2.917
1858	52.825	2.803
1859	55.534	2.983
1861	50.69	3.006
1866	55.348	2.867
1867	54.43	2.884
1869	55.569	2.917
1872	58.747	3.523
1873	62.897	3.388
1874	64.87	3.268
1875	62.372	3.332
1876	62.809	3.419
1877	53.864	3.074
1878	62.432	3.3
1879	55.829	2.942
1880	62.176	3.208
1881	57.462	3.112
1882	51.412	2.94
1883	56.893	3.72
1884	52.636	3.034
1893	59.455	3.382
1894	62.845	3.2
1895	64.678	3.259
1896	67.015	3.493
1897	62.593	3.301
1898	63.963	3.482
1899	60.149	3.275
1900	50.986	3.548
1904	55.182	2.846
1905	48.99	3.154
1906	52.944	2.929
1920	43.953	2.488
1921	42.157	2.46
1922	45.593	2.765
1923	43.435	2.421
1925	39.842	2.903
1930	45.319	2.418
1931	44.367	2.462
1933	44.5	2.534
1936	52.157	3.078
1937	49.289	3.362
1938	50.079	3.089
1939	46.393	2.877
1940	53.031	2.798
1941	42.913	2.893
1942	53.827	2.959
1943	46.784	2.696
1944	49.325	2.845
1945	43.673	2.439
1946	44.091	2.401
1947	38.168	2.932
1948	42.689	2.549
1957	35.313	2.476
1958	37.491	2.266
1959	39.069	2.217
1960	37.217	2.245
1961	37.302	2.315
1962	39.565	2.412
1963	36.465	2.442
1964	35.585	2.524
1968	42.336	2.4
1969	37.424	2.761
1970	40.553	2.473
1984	38.827	2.902
1986	56.967	3.348
1988	67.622	3.723
1990	68.041	3.401
1992	42.306	2.758
1994	66.746	3.312
1995	58.936	3.594
1996	69.01	3.459
1997	64.982	3.552
1998	64.918	3.337
1999	48.186	2.862
2000	43.211	2.667
2001	48.801	2.794
2002	49.1	2.757
2003	49.811	2.745
2005	50.489	2.812
2013	53.228	2.966
2014	47.122	3.202
2015	53.005	2.888
2016	53.297	2.985
2017	51.549	3.023
2018	55.26	2.985
2019	48.451	3.312
2020	54.095	3.161
2036	34.569	2.387
2038	39.438	2.301
2039	36.535	2.358
2040	37.32	2.218
2041	38.634	2.338
2042	35.071	2.335
2043	35.43	2.138
2045	33.34	2.229
2048	52.198	3.219
2050	46.971	2.895
2052	48.077	2.884
2054	51.526	2.865
2056	56.498	3.129
2058	49.827	3.002
2059	42.923	3.058
2060	44.485	3.112
2061	49.941	3.18
2062	47.345	2.956
2063	64.89	3.718
2064	54.284	3.28
2065	65.897	3.337
2066	67.71	3.377
2067	66.359	3.386
2069	60.879	3.489
2077	56.814	3.401
2078	50.327	3.234
2079	57.239	3.171
2080	51.654	3.054
2081	52.932	2.992
2082	55.934	3.06
2083	50.2	2.976
2084	51.5	2.972
2100	36.425	2.675
2102	40.813	2.765
2103	36.548	2.522
2104	41.799	2.744
2105	42.861	2.595
2106	43.009	2.623
2107	44.329	2.561
2109	38.904	2.762
2112	69.736	3.473
2113	68.824	3.513
